Rec No;Long Gate Name;Description;Groups;Rec;Rate;DDE; DDE I/A;App;Topic;Item;Source;VPI;Address;Sample;Rate;Compound I/A;K1;Gate1;Op;K2;Gate2;Type;Fmt;Tol/Fil/Len;X1;X2;Y1;Y2;Low;High;RO;ODBC;Local;Lock;LockDef;Replay;TagMapper;StartupDef;StartupHis;StartupRetain;MultiState;LockValue;StatusTag;UnlockTime;LoAlarm;LoLoAlarm;HiAlarm;HiHiAlarm;RocAlarm;DevAlarm;StartupValue;MultiStateID;Gate Name;ExportToCoDeSys;VarName;IO;Address;Sampling;NoSampling;Retain;ReadOnly;InitBy
0;O1_B101_SV0010_V05;Sommerschiebung   SiZi 238_[K];38fcf4f1;C;;N;;;;;PLC;0;001:246_80_AI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_SV0010_V05;0;;0;;0;0;0;0;0
1;O1_B101_TRM001_A01;GWMin RaumtemperaturSiZi 238;38fcf4f1;C;;N;;;;;PLC;0;001:246_82_BN_31;N;;;;;;;;D;;0;;;;;;;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_TRM001_A01;0;;0;;0;0;0;0;0
2;O1_B101_SV0010_V01;X1 Sommerschiebung   SiZi 238_[°C];38fcf4f1;C;;N;;;;;PLC;0;001:246_67_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_SV0010_V01;0;;0;;0;0;0;0;0
3;O1_B101_AVZ001_Y01;VAV        SiZi 238_[%];38fcf4f1;C;;N;;;;;PLC;0;001:246_21_AI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_AVZ001_Y01;0;;0;;0;0;0;0;0
4;O1_B101_TRM001_I01;Raumtemperatur      SiZi 238_[°C];38fcf4f1;C;;N;;;;;PLC;0;001:246_9_AI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_TRM001_I01;0;;0;;0;0;0;0;0
5;O1_B101_TRM001_I02;XF Poti    SiZi 238_[K];38fcf4f1;C;;N;;;;;PLC;0;001:246_79_AI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_TRM001_I02;0;;0;;0;0;0;0;0
6;O1_B101_SV0010_V04;Y2 Sommerschiebung   SiZi 238_[°C];38fcf4f1;C;;N;;;;;PLC;0;001:246_70_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_SV0010_V04;0;;0;;0;0;0;0;0
7;O1_B101_TRM001_V02;XSC Raumtemperatur  SiZi 238_[°C];38fcf4f1;C;;N;;;;;PLC;0;001:246_72_AI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_TRM001_V02;0;;0;;0;0;0;0;0
8;O1_B101_SV0010_V02;X2 Sommerschiebung   SiZi 238_[°C];38fcf4f1;C;;N;;;;;PLC;0;001:246_69_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_SV0010_V02;0;;0;;0;0;0;0;0
9;O1_B101_AVZ001_V01;XSM GWMin VSR  SiZi 238_[%];38fcf4f1;C;;N;;;;;PLC;0;001:246_68_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_AVZ001_V01;0;;0;;0;0;0;0;0
10;O1_B101_CAB001_V02;XSC CO2  SiZi 238_[ppm];38fcf4f1;C;;N;;;;;PLC;0;001:246_74_AI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_CAB001_V02;0;;0;;0;0;0;0;0
11;O1_B101_CAB001_I01;CO2 Messumformer     SiZi 238_[ppm];38fcf4f1;C;;N;;;;;PLC;0;001:246_7_AI;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_CAB001_I01;0;;0;;0;0;0;0;0
12;O1_B101_AVA001_Y01;XSM GWMax VSR  SiZi 238_[Pa];38fcf4f1;C;;N;;;;;PLC;0;001:246_76_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_AVA001_Y01;0;;0;;0;0;0;0;0
13;O1_B101_TRM001_V01;XS Raumtemperatur  SiZi 238_[°C];38fcf4f1;C;;N;;;;;PLC;0;001:246_71_AO;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;O1_B101_TRM001_V01;0;;0;;0;0;0;0;0
