Rec No;Long Gate Name;Description;Groups;Rec;Rate;DDE; DDE I/A;App;Topic;Item;Source;VPI;Address;Sample;Rate;Compound I/A;K1;Gate1;Op;K2;Gate2;Type;Fmt;Tol/Fil/Len;X1;X2;Y1;Y2;Low;High;RO;ODBC;Local;Lock;LockDef;Replay;TagMapper;StartupDef;StartupHis;StartupRetain;MultiState;LockValue;StatusTag;UnlockTime;LoAlarm;LoLoAlarm;HiAlarm;HiHiAlarm;RocAlarm;DevAlarm;StartupValue;MultiStateID;Gate Name;ExportToCoDeSys;VarName;IO;Address;Sampling;NoSampling;Retain;ReadOnly;InitBy
859;FC4T40_AG01AG_BA01_AL1;SGK Allg. Brandmeldung Brandalarm;1;C;;N;;;;;PLC;1;!19333.BI.33.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;3;FC4T40_AG01AG_BA01_AL1;0;;0;;0;0;0;0;0
860;FC4T40_AG01AG_HS01_RM1;SGK Allg. Feldmodul Hand Handbetrieb;1;C;;N;;;;;PLC;1;!19333.BI.35.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;1;FC4T40_AG01AG_HS01_RM1;0;;0;;0;0;0;0;0
861;FC4T40_AG01AG_HS01_SB1;SGK Allg. Feldmodul Hand Meldelampe;1;C;;N;;;;;PLC;1;!19333.BO.11.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;1;FC4T40_AG01AG_HS01_SB1;0;;0;;0;0;0;0;0
862;FC4T40_AG01AG_PB01_VI1;SGK Allg. Freigabe Pumpenblockierschutz;1;C;;N;;;;;PLC;1;!19333.BV.2.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;1;FC4T40_AG01AG_PB01_VI1;0;;0;;0;0;0;0;0
863;FC4T40_AG01AG_SA01_SB1;SGK Allg. Sammelelarm Pf-Kontakt;1;C;;N;;;;;PLC;1;!19333.BO.9.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;1;FC4T40_AG01AG_SA01_SB1;0;;0;;0;0;0;0;0
864;FC4T40_AG01AG_SA01_SB2;SGK Allg. Sammelelarm Meldelampe;1;C;;N;;;;;PLC;1;!19333.BO.10.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;1;FC4T40_AG01AG_SA01_SB2;0;;0;;0;0;0;0;0
865;FC4T40_AG01AG_SA02_VI1;SGK Allg. SA Quit Quit;1;C;;N;;;;;PLC;1;!19333.BI.34.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;1;FC4T40_AG01AG_SA02_VI1;0;;0;;0;0;0;0;0
866;FC4T40_AG01AG_SB01_SB1;SGK Allg. Alarm Strömung WAGO Pf-Kontakt;1;C;;N;;;;;PLC;1;!19333.BO.20.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;1;FC4T40_AG01AG_SB01_SB1;0;;0;;0;0;0;0;0
867;FC4T40_AG01AG_SB02_SB1;SGK Allg. Alarm Kanaldruck WAGO Pf-Kontakt;1;C;;N;;;;;PLC;1;!19333.BO.21.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;1;FC4T40_AG01AG_SB02_SB1;0;;0;;0;0;0;0;0
868;FC4T40_AG01SP_SP01_RM1;SGK Allg. Spng. Steuerung Spannung;1;C;;N;;;;;PLC;1;!19333.BI.36.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;3;FC4T40_AG01SP_SP01_RM1;0;;0;;0;0;0;0;0
869;FC4T40_KA01KA_KM01_AL1;Kaelte Kältemaschine Gerätestörung;1;C;;N;;;;;PLC;1;!19333.BI.37.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;3;FC4T40_KA01KA_KM01_AL1;0;;0;;0;0;0;0;0
870;FC4T40_KA01KA_KM01_SB1;Kaelte Kältemaschine Waermebedarf;1;C;;N;;;;;PLC;1;!19333.BO.12.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;1;FC4T40_KA01KA_KM01_SB1;0;;0;;0;0;0;0;0
871;FC4T40_KA01KA_KM01_SB2;Kaelte Kältemaschine Kaeltebedarf;1;C;;N;;;;;PLC;1;!19333.BO.13.PV;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;Y;0;;-1;-1;-1;-1;-1;-1;-1;0;1;FC4T40_KA01KA_KM01_SB2;0;;0;;0;0;0;0;0
872;FC4T40_LU01AB_HX01_GW1;Grenzwert minimale-Abluftfeuchte;1;C;;N;;;;;PLC;1;!19333.AV.29.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AB_HX01_GW1;0;;0;;0;0;0;0;0
873;FC4T40_LU01AB_HX01_GW2;Grenzwert maximale-Abluftfeuchte;1;C;;N;;;;;PLC;1;!19333.AV.30.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AB_HX01_GW2;0;;0;;0;0;0;0;0
874;FC4T40_LU01AB_HX01_ME1;Hochregallager AB-Feuchte H% Messung;1;C;;N;;;;;PLC;1;!19333.AI.12.PV;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;FC4T40_LU01AB_HX01_ME1;0;;0;;0;0;0;0;0
