Rec No;Long Gate Name;Description;Groups;Rec;Rate;DDE; DDE I/A;App;Topic;Item;Source;VPI;Address;Sample;Rate;Compound I/A;K1;Gate1;Op;K2;Gate2;Type;Fmt;Tol/Fil/Len;X1;X2;Y1;Y2;Low;High;RO;ODBC;Local;Lock;LockDef;Replay;TagMapper;StartupDef;StartupHis;StartupRetain;MultiState;LockValue;StatusTag;UnlockTime;LoAlarm;LoLoAlarm;HiAlarm;HiHiAlarm;RocAlarm;DevAlarm;StartupValue;MultiStateID;Gate Name;ExportToCoDeSys;VarName;IO;Address;Sampling;NoSampling;Retain;ReadOnly;InitBy
1465;072HH01B06_001D1;Expans-Anl.1 Niveau Waermeerzg;19bc16d;C;;N;;;;;PLC;3;001:7201_72_BN_31;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01B06_001D1;0;;0;;0;0;0;0;0
1466;072HH01B06_001D2;Expans-Anl.1 Niveau Waermeerzg;19bc16d;C;;N;;;;;PLC;3;001:7201_65_BN_31;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01B06_001D2;0;;0;;0;0;0;0;0
1467;072HH01B06_002D1;Expans-Anl.2 Niveau Waermeerzg;19bc16d;C;;N;;;;;PLC;3;001:7201_66_BN_31;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01B06_002D1;0;;0;;0;0;0;0;0
1468;072HH01B06_002D2;Expans-Anl.2 Niveau Waermeerzg;19bc16d;C;;N;;;;;PLC;3;001:7201_68_BN_31;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01B06_002D2;0;;0;;0;0;0;0;0
1469;072HH01E01_001D1;HW Schalter Allg WT1+2;19bc16d;C;;N;;;;;PLC;3;001:7201_97_DO;N;;;;;;;;A;U;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01E01_001D1;0;;0;;0;0;0;0;0
1470;072HH01E01_001H1;Pumpenwahl ab LS Wae 012____A;19bc16d;C;;N;;;;;PLC;3;001:7201_91_DO;N;;;;;;;;A;U;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01E01_001H1;0;;0;;0;0;0;0;0
1471;072HH01E05_001D1;Sich.Schalter PU 1 Waermeerzg;19bc16d;C;;N;;;;;PLC;3;001:7201_71_BN_31;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01E05_001D1;0;;0;;0;0;0;0;0
1472;072HH01E05_002D1;Sich.Schalter PU 2 Waermeerzg;19bc16d;C;;N;;;;;PLC;3;001:7201_74_BN_31;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01E05_002D1;0;;0;;0;0;0;0;0
1473;072HH01P05_001D1;Pumpe 1 Winter Waermeerzg;19bc16d;C;;N;;;;;PLC;3;001:7201_84_BI_31;N;;;;;;;;D; ;0;;;;;;;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01P05_001D1;0;;0;;0;0;0;0;0
1474;072HH01P05_001D1_ADD;Pumpe 1 Winter Waermeerzg_[h];19bc16d;C;;N;;;;;PLC;3;001:7201_84_HR;N;;;;;;;;A;F;0;0;1;0;1;1;0;N;N;N;N;N;N;N;N;N;N;N;0;;-1;-1;-1;-1;-1;-1;-1;0;0;072HH01P05_001D1_ADD;0;;0;;0;0;0;0;0
